"filename", "language", "Python", "Ini", "comment", "blank", "total"
"c:\Users\Ravi\Desktop\College_project\assets\days_videos\desktop.ini", "Ini", 0, 8, 0, 1, 9
"c:\Users\Ravi\Desktop\College_project\assets\months_videos\desktop.ini", "Ini", 0, 2, 0, 1, 3
"c:\Users\Ravi\Desktop\College_project\ui\TTS.py", "Python", -4, 0, 4, 0, 0
"c:\Users\Ravi\Desktop\College_project\ui\alphabet_learning.py", "Python", 329, 0, 15, 58, 402
"c:\Users\Ravi\Desktop\College_project\ui\colors_learning.py", "Python", 252, 0, 13, 45, 310
"c:\Users\Ravi\Desktop\College_project\ui\days_learning.py", "Python", 266, 0, 20, 47, 333
"c:\Users\Ravi\Desktop\College_project\ui\greetings_learning.py", "Python", 265, 0, 18, 50, 333
"c:\Users\Ravi\Desktop\College_project\ui\learning.py", "Python", 48, 0, 3, 13, 64
"c:\Users\Ravi\Desktop\College_project\ui\months_learning.py", "Python", 266, 0, 17, 48, 331
"c:\Users\Ravi\Desktop\College_project\ui\numbers_learning.py", "Python", 256, 0, 17, 47, 320
"Total", "-", 1678, 10, 107, 310, 2105